Lifter Name;Age;Weight Class;Lift Type;Amount Lifted (kg)
Michael Johnson;48;93 kg;Bench Press;381
Michael Johnson;57;105 kg;Bench Press;113
Jane Smith;39;66 kg;Bench Press;142
Daniel Lee;34;74 kg;Bench Press;276
Matthew Anderson;45;52 kg;Bench Press;322
Michael Johnson;53;74 kg;Bench Press;165
Jessica Wilson;31;93 kg;Bench Press;244
Sarah Thomas;55;83 kg;Bench Press;324
Matthew Anderson;45;83 kg;Bench Press;160
John Doe;56;Open;Bench Press;117
Sarah Thomas;30;120 kg;Bench Press;177
Michael Johnson;56;59 kg;Bench Press;347
Emily Davis;23;105 kg;Bench Press;168
Jessica Wilson;42;120 kg;Bench Press;378
Matthew Anderson;47;83 kg;Bench Press;320
Laura Taylor;22;105 kg;Bench Press;350
Jessica Wilson;26;59 kg;Bench Press;203
Chris Brown;36;74 kg;Bench Press;190
John Doe;63;66 kg;Bench Press;364
Laura Taylor;25;93 kg;Bench Press;144
Jane Smith;34;105 kg;Bench Press;245
Sarah Thomas;33;66 kg;Bench Press;255
Michael Johnson;39;105 kg;Bench Press;288
Daniel Lee;51;Open;Bench Press;304
Matthew Anderson;52;120 kg;Bench Press;172
Jane Smith;62;93 kg;Bench Press;368
Laura Taylor;38;93 kg;Bench Press;225
Emily Davis;51;Open;Bench Press;122
Laura Taylor;64;93 kg;Bench Press;227
Jessica Wilson;24;74 kg;Bench Press;315
Matthew Anderson;59;120 kg;Bench Press;243
Jessica Wilson;39;83 kg;Bench Press;158
Laura Taylor;35;74 kg;Bench Press;239
Jane Smith;47;105 kg;Bench Press;116
Chris Brown;34;93 kg;Bench Press;395
Chris Brown;58;120 kg;Bench Press;276
Laura Taylor;33;52 kg;Bench Press;354
Emily Davis;59;74 kg;Bench Press;174
John Doe;60;Open;Bench Press;220
Laura Taylor;58;120 kg;Bench Press;336
Sarah Thomas;28;66 kg;Bench Press;338
Jessica Wilson;45;66 kg;Bench Press;345
John Doe;26;74 kg;Bench Press;246
Jane Smith;51;66 kg;Bench Press;358
Matthew Anderson;34;83 kg;Bench Press;153
Emily Davis;20;83 kg;Bench Press;331
Sarah Thomas;26;93 kg;Bench Press;185
Laura Taylor;46;93 kg;Bench Press;269
Jessica Wilson;37;93 kg;Bench Press;172
Matthew Anderson;60;74 kg;Bench Press;219
Jessica Wilson;61;Open;Bench Press;342
Jane Smith;22;Open;Bench Press;316
Chris Brown;35;52 kg;Bench Press;333
Laura Taylor;47;83 kg;Bench Press;254
Matthew Anderson;56;66 kg;Bench Press;182
Laura Taylor;44;93 kg;Bench Press;137
Sarah Thomas;36;93 kg;Bench Press;354
John Doe;59;Open;Bench Press;245
Daniel Lee;25;Open;Bench Press;243
Emily Davis;30;Open;Bench Press;263
John Doe;27;52 kg;Bench Press;249
Daniel Lee;57;Open;Bench Press;250
Emily Davis;40;66 kg;Bench Press;336
John Doe;44;66 kg;Bench Press;235
Chris Brown;61;74 kg;Bench Press;190
John Doe;23;59 kg;Bench Press;189
Jessica Wilson;40;66 kg;Bench Press;365
Sarah Thomas;62;93 kg;Bench Press;286
Michael Johnson;44;83 kg;Bench Press;372
Jane Smith;32;66 kg;Bench Press;201
Daniel Lee;37;105 kg;Bench Press;267
Sarah Thomas;64;Open;Bench Press;223
Jessica Wilson;22;52 kg;Bench Press;195
Daniel Lee;47;120 kg;Bench Press;293
Jessica Wilson;62;83 kg;Bench Press;345
Laura Taylor;56;52 kg;Bench Press;246
Daniel Lee;18;Open;Bench Press;277
Laura Taylor;63;59 kg;Bench Press;273
Chris Brown;40;83 kg;Bench Press;355
Michael Johnson;48;105 kg;Bench Press;111
Daniel Lee;50;83 kg;Bench Press;122
Matthew Anderson;63;120 kg;Bench Press;263
John Doe;21;66 kg;Bench Press;188
John Doe;37;66 kg;Bench Press;370
Jane Smith;62;Open;Bench Press;252
Sarah Thomas;21;Open;Bench Press;222
John Doe;26;120 kg;Bench Press;225
Emily Davis;19;Open;Bench Press;215
Emily Davis;59;52 kg;Bench Press;152
Jessica Wilson;62;93 kg;Bench Press;131
Michael Johnson;30;120 kg;Bench Press;109
Jessica Wilson;59;93 kg;Bench Press;269
Matthew Anderson;18;52 kg;Bench Press;150
John Doe;56;59 kg;Bench Press;172
John Doe;45;Open;Bench Press;395
Jessica Wilson;58;74 kg;Bench Press;222
John Doe;24;74 kg;Bench Press;332
John Doe;25;93 kg;Bench Press;261
Jane Smith;28;52 kg;Bench Press;232
Emily Davis;62;93 kg;Bench Press;298
Chris Brown;62;52 kg;Bench Press;326
Jessica Wilson;23;83 kg;Bench Press;381
Matthew Anderson;24;105 kg;Bench Press;329
Michael Johnson;57;66 kg;Bench Press;112
Sarah Thomas;35;66 kg;Bench Press;393
Jessica Wilson;55;66 kg;Bench Press;206
Jessica Wilson;27;120 kg;Bench Press;326
Jane Smith;35;105 kg;Bench Press;278
Chris Brown;50;Open;Bench Press;146
John Doe;25;83 kg;Bench Press;276
John Doe;35;120 kg;Bench Press;141
Daniel Lee;35;66 kg;Bench Press;125
Jessica Wilson;44;66 kg;Bench Press;345
John Doe;22;83 kg;Bench Press;125
Daniel Lee;58;Open;Bench Press;156
Chris Brown;55;52 kg;Bench Press;294
Chris Brown;25;59 kg;Bench Press;238
Jane Smith;57;74 kg;Bench Press;399
Chris Brown;41;Open;Bench Press;352
Laura Taylor;45;Open;Bench Press;221
Sarah Thomas;63;Open;Bench Press;254
John Doe;25;120 kg;Bench Press;315
Sarah Thomas;41;74 kg;Bench Press;110
Jessica Wilson;32;93 kg;Bench Press;236
Laura Taylor;26;59 kg;Bench Press;290
Daniel Lee;57;52 kg;Bench Press;373
Matthew Anderson;39;93 kg;Bench Press;321
John Doe;48;66 kg;Bench Press;177
Michael Johnson;27;52 kg;Bench Press;257
Jane Smith;46;Open;Bench Press;359
Michael Johnson;50;105 kg;Bench Press;293
Matthew Anderson;43;Open;Bench Press;283
Sarah Thomas;55;Open;Bench Press;385
Matthew Anderson;31;83 kg;Bench Press;380
Michael Johnson;21;52 kg;Bench Press;338
Matthew Anderson;31;66 kg;Bench Press;217
Daniel Lee;47;93 kg;Bench Press;292
Chris Brown;46;83 kg;Bench Press;350
Jane Smith;40;74 kg;Bench Press;311
Daniel Lee;57;Open;Bench Press;202
Michael Johnson;45;Open;Bench Press;250
Jessica Wilson;53;105 kg;Bench Press;389
Daniel Lee;30;74 kg;Bench Press;345
Chris Brown;53;93 kg;Bench Press;370
Daniel Lee;28;59 kg;Bench Press;346
Jessica Wilson;31;105 kg;Bench Press;115
Daniel Lee;54;66 kg;Bench Press;287
Sarah Thomas;25;66 kg;Bench Press;277
Jane Smith;38;59 kg;Bench Press;102
Emily Davis;23;74 kg;Bench Press;345
Jessica Wilson;34;105 kg;Bench Press;208
Emily Davis;42;52 kg;Bench Press;167
Daniel Lee;18;59 kg;Bench Press;255
Matthew Anderson;63;83 kg;Bench Press;152
Daniel Lee;26;120 kg;Bench Press;338
Emily Davis;41;59 kg;Bench Press;362
Matthew Anderson;56;120 kg;Bench Press;108
Michael Johnson;37;Open;Bench Press;247
Sarah Thomas;43;93 kg;Bench Press;231
Michael Johnson;45;52 kg;Bench Press;318
Chris Brown;59;Open;Bench Press;342
Chris Brown;37;105 kg;Bench Press;330
Sarah Thomas;39;83 kg;Bench Press;331
Emily Davis;25;59 kg;Bench Press;236
Laura Taylor;54;66 kg;Bench Press;244
Chris Brown;49;Open;Bench Press;323
John Doe;43;83 kg;Bench Press;348
Sarah Thomas;30;105 kg;Bench Press;342
Jane Smith;29;120 kg;Bench Press;135
Jane Smith;61;59 kg;Bench Press;126
Daniel Lee;43;120 kg;Bench Press;111
Jessica Wilson;45;59 kg;Bench Press;142
Sarah Thomas;35;105 kg;Bench Press;121
Sarah Thomas;25;59 kg;Bench Press;111
Daniel Lee;56;66 kg;Bench Press;132
Jane Smith;27;120 kg;Bench Press;207
Jane Smith;48;105 kg;Bench Press;352
Jane Smith;30;Open;Bench Press;332
John Doe;57;Open;Bench Press;289
Chris Brown;56;74 kg;Bench Press;132
Michael Johnson;20;Open;Bench Press;353
Emily Davis;31;93 kg;Bench Press;243
Daniel Lee;49;83 kg;Bench Press;322
Matthew Anderson;49;83 kg;Bench Press;264
Chris Brown;36;59 kg;Bench Press;254
Michael Johnson;37;74 kg;Bench Press;137
Jessica Wilson;29;52 kg;Bench Press;371
Laura Taylor;53;93 kg;Bench Press;145
Matthew Anderson;42;83 kg;Bench Press;367
Michael Johnson;64;Open;Bench Press;110
Jane Smith;22;105 kg;Bench Press;300
Laura Taylor;47;105 kg;Bench Press;268
Jessica Wilson;57;83 kg;Bench Press;227
John Doe;20;120 kg;Bench Press;121
John Doe;60;66 kg;Bench Press;317
Daniel Lee;47;120 kg;Bench Press;350
John Doe;28;74 kg;Bench Press;108
Jessica Wilson;30;74 kg;Bench Press;111
Chris Brown;51;83 kg;Bench Press;352
Matthew Anderson;63;59 kg;Bench Press;391
Sarah Thomas;31;74 kg;Bench Press;180
Emily Davis;63;83 kg;Bench Press;290
Michael Johnson;51;59 kg;Bench Press;356
Laura Taylor;26;93 kg;Bench Press;369
Matthew Anderson;32;93 kg;Bench Press;148
Chris Brown;36;105 kg;Bench Press;356
Michael Johnson;51;59 kg;Bench Press;313
Laura Taylor;51;120 kg;Bench Press;300
Jane Smith;25;Open;Bench Press;397
Emily Davis;38;59 kg;Bench Press;272
Sarah Thomas;59;Open;Bench Press;181
Sarah Thomas;20;93 kg;Bench Press;159
John Doe;48;120 kg;Bench Press;361
John Doe;39;59 kg;Bench Press;335
Jessica Wilson;23;Open;Bench Press;311
Jessica Wilson;45;Open;Bench Press;168
Sarah Thomas;44;93 kg;Bench Press;259
Michael Johnson;30;74 kg;Bench Press;319
Laura Taylor;21;74 kg;Bench Press;305
John Doe;38;Open;Bench Press;367
Daniel Lee;42;74 kg;Bench Press;212
Sarah Thomas;50;59 kg;Bench Press;118
Matthew Anderson;46;74 kg;Bench Press;142
Jessica Wilson;19;52 kg;Bench Press;231
Emily Davis;31;66 kg;Bench Press;195
Jessica Wilson;59;74 kg;Bench Press;241
Sarah Thomas;25;59 kg;Bench Press;182
Matthew Anderson;23;52 kg;Bench Press;209
Michael Johnson;21;93 kg;Bench Press;181
Jane Smith;27;120 kg;Bench Press;320
Jessica Wilson;44;52 kg;Bench Press;343
Jessica Wilson;58;120 kg;Bench Press;232
Michael Johnson;56;Open;Bench Press;320
Emily Davis;30;52 kg;Bench Press;294
Laura Taylor;38;74 kg;Bench Press;125
Daniel Lee;59;120 kg;Bench Press;122
John Doe;26;66 kg;Bench Press;152
Emily Davis;46;93 kg;Bench Press;218
Chris Brown;41;59 kg;Bench Press;294
Chris Brown;20;59 kg;Bench Press;243
Jane Smith;33;Open;Bench Press;351
Daniel Lee;29;120 kg;Bench Press;211
Chris Brown;27;Open;Bench Press;276
Chris Brown;19;74 kg;Bench Press;332
John Doe;43;83 kg;Bench Press;346
Laura Taylor;51;93 kg;Bench Press;244
Matthew Anderson;26;93 kg;Bench Press;298
John Doe;18;59 kg;Bench Press;339
Emily Davis;52;120 kg;Bench Press;158
Daniel Lee;56;59 kg;Bench Press;180
Jane Smith;38;120 kg;Bench Press;279
Michael Johnson;60;52 kg;Bench Press;297
Daniel Lee;48;105 kg;Bench Press;303
John Doe;34;59 kg;Bench Press;207
John Doe;55;83 kg;Bench Press;394
Jessica Wilson;57;59 kg;Bench Press;328
Laura Taylor;61;59 kg;Bench Press;221
Emily Davis;27;120 kg;Bench Press;257
Laura Taylor;22;Open;Bench Press;323
Michael Johnson;59;52 kg;Bench Press;214
Matthew Anderson;34;66 kg;Bench Press;138
Emily Davis;22;105 kg;Bench Press;256
Emily Davis;64;59 kg;Bench Press;155
Chris Brown;19;52 kg;Bench Press;282
Jessica Wilson;22;59 kg;Bench Press;209
Daniel Lee;33;74 kg;Bench Press;310
Jane Smith;51;120 kg;Bench Press;239
Laura Taylor;36;74 kg;Bench Press;333
Daniel Lee;23;Open;Bench Press;265
Daniel Lee;18;74 kg;Bench Press;297
John Doe;32;66 kg;Bench Press;110
Daniel Lee;24;66 kg;Bench Press;194
Laura Taylor;47;120 kg;Bench Press;232
Emily Davis;19;105 kg;Bench Press;176
Emily Davis;60;52 kg;Bench Press;131
Jessica Wilson;39;66 kg;Bench Press;313
Michael Johnson;50;52 kg;Bench Press;116
Jessica Wilson;18;83 kg;Bench Press;319
Emily Davis;61;74 kg;Bench Press;306
Jessica Wilson;24;66 kg;Bench Press;107
Sarah Thomas;55;66 kg;Bench Press;394
Jane Smith;46;66 kg;Bench Press;343
Michael Johnson;21;93 kg;Bench Press;234
Laura Taylor;59;120 kg;Bench Press;296
Matthew Anderson;57;66 kg;Bench Press;122
Daniel Lee;52;93 kg;Bench Press;397
Matthew Anderson;53;120 kg;Bench Press;113
Matthew Anderson;35;66 kg;Bench Press;285
Chris Brown;22;83 kg;Bench Press;264
Emily Davis;21;Open;Bench Press;361
Jessica Wilson;26;66 kg;Bench Press;207
Jessica Wilson;30;93 kg;Bench Press;337
Jessica Wilson;41;52 kg;Bench Press;316
Michael Johnson;50;52 kg;Bench Press;340
Sarah Thomas;58;93 kg;Bench Press;396
Jane Smith;20;59 kg;Bench Press;353
Emily Davis;59;83 kg;Bench Press;389
Laura Taylor;60;Open;Bench Press;374
Laura Taylor;33;74 kg;Bench Press;136
Jessica Wilson;53;83 kg;Bench Press;102
Laura Taylor;43;83 kg;Bench Press;247
John Doe;36;74 kg;Bench Press;342
Laura Taylor;41;74 kg;Bench Press;235
Daniel Lee;28;120 kg;Bench Press;342
Daniel Lee;37;74 kg;Bench Press;284
Emily Davis;28;66 kg;Bench Press;295
Emily Davis;49;Open;Bench Press;307
Jane Smith;63;83 kg;Bench Press;194
Daniel Lee;63;105 kg;Bench Press;205
Emily Davis;43;120 kg;Bench Press;142
Jane Smith;36;105 kg;Bench Press;319
Daniel Lee;18;105 kg;Bench Press;186
Daniel Lee;40;120 kg;Bench Press;395
Laura Taylor;19;Open;Bench Press;169
Laura Taylor;49;74 kg;Bench Press;217
Emily Davis;58;83 kg;Bench Press;250
Matthew Anderson;29;66 kg;Bench Press;399
John Doe;18;93 kg;Bench Press;185
Jane Smith;54;93 kg;Bench Press;277
Jessica Wilson;53;74 kg;Bench Press;179
Emily Davis;26;93 kg;Bench Press;387
Matthew Anderson;56;66 kg;Bench Press;136
John Doe;28;120 kg;Bench Press;120
Sarah Thomas;59;66 kg;Bench Press;163
Chris Brown;64;52 kg;Bench Press;143
Daniel Lee;39;52 kg;Bench Press;206
Matthew Anderson;51;74 kg;Bench Press;166
Sarah Thomas;36;93 kg;Bench Press;314
John Doe;51;105 kg;Bench Press;272
Laura Taylor;30;83 kg;Bench Press;281
Jessica Wilson;20;120 kg;Bench Press;349
Daniel Lee;43;93 kg;Bench Press;245
Sarah Thomas;48;120 kg;Bench Press;285
John Doe;46;120 kg;Bench Press;274
Chris Brown;59;83 kg;Bench Press;188
Jane Smith;51;105 kg;Bench Press;335
John Doe;40;74 kg;Bench Press;220
Chris Brown;57;59 kg;Bench Press;241
Chris Brown;44;93 kg;Bench Press;121
Chris Brown;49;93 kg;Bench Press;182
Sarah Thomas;58;59 kg;Bench Press;322
Matthew Anderson;49;66 kg;Bench Press;315
Chris Brown;26;66 kg;Bench Press;381
Jessica Wilson;54;Open;Bench Press;346
Chris Brown;48;59 kg;Bench Press;187
Sarah Thomas;38;120 kg;Bench Press;388
Chris Brown;61;Open;Bench Press;286
Jessica Wilson;34;59 kg;Bench Press;239
Chris Brown;51;59 kg;Bench Press;338
Daniel Lee;44;66 kg;Bench Press;362
Jane Smith;59;105 kg;Bench Press;167
Michael Johnson;26;66 kg;Bench Press;201
Chris Brown;60;93 kg;Bench Press;224
Michael Johnson;22;Open;Bench Press;293
Michael Johnson;23;Open;Bench Press;165
Chris Brown;48;105 kg;Bench Press;116
Emily Davis;39;Open;Bench Press;390
Daniel Lee;35;93 kg;Bench Press;192
Michael Johnson;35;66 kg;Bench Press;289
Jessica Wilson;29;105 kg;Bench Press;140
Matthew Anderson;36;93 kg;Bench Press;180
Emily Davis;63;83 kg;Bench Press;173
Laura Taylor;61;93 kg;Bench Press;137
John Doe;41;52 kg;Bench Press;137
Sarah Thomas;59;59 kg;Bench Press;211
Daniel Lee;63;120 kg;Bench Press;153
Daniel Lee;64;59 kg;Bench Press;370
Laura Taylor;32;Open;Bench Press;192
Chris Brown;20;83 kg;Bench Press;169
Matthew Anderson;21;83 kg;Bench Press;206
Laura Taylor;56;Open;Bench Press;184
Daniel Lee;48;52 kg;Bench Press;119
Laura Taylor;40;59 kg;Bench Press;133
Jessica Wilson;21;66 kg;Bench Press;211
Chris Brown;33;93 kg;Bench Press;227
Sarah Thomas;48;Open;Bench Press;235
Daniel Lee;24;93 kg;Bench Press;390
Matthew Anderson;40;Open;Bench Press;211
Laura Taylor;28;59 kg;Bench Press;211
Sarah Thomas;46;120 kg;Bench Press;251
Laura Taylor;25;120 kg;Bench Press;316
Sarah Thomas;30;93 kg;Bench Press;313
Sarah Thomas;48;83 kg;Bench Press;304
Emily Davis;48;Open;Bench Press;399
Jane Smith;41;Open;Bench Press;175
Michael Johnson;31;93 kg;Bench Press;166
Chris Brown;56;93 kg;Bench Press;246
John Doe;60;105 kg;Bench Press;287
John Doe;51;52 kg;Bench Press;170
Sarah Thomas;62;105 kg;Bench Press;191
John Doe;46;74 kg;Bench Press;246
Chris Brown;32;93 kg;Bench Press;333
Laura Taylor;56;74 kg;Deadlift;221
Emily Davis;40;83 kg;Deadlift;132
Laura Taylor;31;52 kg;Deadlift;328
Daniel Lee;38;52 kg;Deadlift;347
Daniel Lee;37;59 kg;Deadlift;133
Laura Taylor;62;74 kg;Deadlift;396
Laura Taylor;62;105 kg;Deadlift;273
Jane Smith;40;83 kg;Deadlift;245
Chris Brown;39;52 kg;Deadlift;210
John Doe;52;74 kg;Deadlift;136
Emily Davis;39;59 kg;Deadlift;193
Laura Taylor;52;83 kg;Deadlift;217
John Doe;63;52 kg;Deadlift;284
John Doe;49;Open;Deadlift;217
Laura Taylor;25;93 kg;Deadlift;278
John Doe;39;105 kg;Deadlift;300
John Doe;39;93 kg;Deadlift;337
Daniel Lee;50;52 kg;Deadlift;125
Chris Brown;50;105 kg;Deadlift;124
Jane Smith;53;52 kg;Deadlift;205
Sarah Thomas;40;66 kg;Deadlift;276
Emily Davis;40;Open;Deadlift;365
Daniel Lee;27;52 kg;Deadlift;227
Laura Taylor;19;105 kg;Deadlift;153
John Doe;23;120 kg;Deadlift;380
Jessica Wilson;22;52 kg;Deadlift;347
Daniel Lee;31;105 kg;Deadlift;169
Chris Brown;29;Open;Deadlift;381
Chris Brown;29;66 kg;Deadlift;354
Chris Brown;21;105 kg;Deadlift;299
Laura Taylor;25;120 kg;Deadlift;190
Jessica Wilson;20;74 kg;Deadlift;284
Jane Smith;23;Open;Deadlift;253
Jane Smith;31;52 kg;Deadlift;207
Michael Johnson;18;66 kg;Deadlift;206
Laura Taylor;56;59 kg;Deadlift;103
Michael Johnson;34;83 kg;Deadlift;215
Sarah Thomas;23;Open;Deadlift;330
Michael Johnson;57;120 kg;Deadlift;204
Michael Johnson;48;105 kg;Deadlift;170
Michael Johnson;18;59 kg;Deadlift;207
Jane Smith;43;59 kg;Deadlift;396
Matthew Anderson;58;83 kg;Deadlift;190
Emily Davis;56;120 kg;Deadlift;377
John Doe;37;83 kg;Deadlift;178
Daniel Lee;39;83 kg;Deadlift;304
Emily Davis;38;59 kg;Deadlift;256
Matthew Anderson;21;83 kg;Deadlift;372
Michael Johnson;43;93 kg;Deadlift;397
Emily Davis;25;Open;Deadlift;139
John Doe;22;52 kg;Deadlift;339
Emily Davis;51;59 kg;Deadlift;385
Matthew Anderson;50;Open;Deadlift;370
Emily Davis;39;83 kg;Deadlift;195
Daniel Lee;20;66 kg;Deadlift;132
John Doe;32;105 kg;Deadlift;331
Sarah Thomas;37;59 kg;Deadlift;283
Jessica Wilson;44;83 kg;Deadlift;386
Jane Smith;33;74 kg;Deadlift;338
John Doe;36;Open;Deadlift;287
Chris Brown;60;93 kg;Deadlift;228
Daniel Lee;34;83 kg;Deadlift;170
Jessica Wilson;29;74 kg;Deadlift;124
Matthew Anderson;27;83 kg;Deadlift;387
Sarah Thomas;48;52 kg;Deadlift;198
Jane Smith;22;120 kg;Deadlift;218
Matthew Anderson;33;83 kg;Deadlift;262
Matthew Anderson;51;93 kg;Deadlift;366
Emily Davis;18;83 kg;Deadlift;183
Daniel Lee;27;66 kg;Deadlift;103
Laura Taylor;52;120 kg;Deadlift;124
Matthew Anderson;62;74 kg;Deadlift;387
Chris Brown;62;59 kg;Deadlift;223
Daniel Lee;60;120 kg;Deadlift;130
Emily Davis;60;93 kg;Deadlift;142
Emily Davis;22;105 kg;Deadlift;391
Michael Johnson;44;120 kg;Deadlift;335
Emily Davis;61;83 kg;Deadlift;128
Laura Taylor;32;105 kg;Deadlift;398
Chris Brown;48;52 kg;Deadlift;169
Michael Johnson;27;66 kg;Deadlift;221
Jessica Wilson;25;120 kg;Deadlift;393
John Doe;39;83 kg;Deadlift;203
Matthew Anderson;48;93 kg;Deadlift;360
John Doe;19;83 kg;Deadlift;279
Matthew Anderson;26;Open;Deadlift;365
Chris Brown;63;93 kg;Deadlift;329
Chris Brown;18;59 kg;Deadlift;375
Sarah Thomas;43;Open;Deadlift;195
Emily Davis;47;83 kg;Deadlift;168
Laura Taylor;25;52 kg;Deadlift;105
Jane Smith;32;59 kg;Deadlift;309
Michael Johnson;26;Open;Deadlift;337
Jane Smith;57;Open;Deadlift;141
Michael Johnson;41;93 kg;Deadlift;255
Jessica Wilson;31;Open;Deadlift;166
Jessica Wilson;19;105 kg;Deadlift;275
Laura Taylor;48;93 kg;Deadlift;338
Daniel Lee;34;83 kg;Deadlift;223
Daniel Lee;57;93 kg;Deadlift;327
Michael Johnson;56;Open;Deadlift;228
Emily Davis;39;120 kg;Deadlift;363
Jane Smith;42;120 kg;Deadlift;190
Sarah Thomas;54;105 kg;Deadlift;196
Sarah Thomas;50;120 kg;Deadlift;115
Sarah Thomas;21;83 kg;Deadlift;256
Chris Brown;58;66 kg;Deadlift;177
Emily Davis;29;66 kg;Deadlift;249
Matthew Anderson;18;Open;Deadlift;146
Laura Taylor;25;74 kg;Deadlift;240
Jane Smith;19;66 kg;Deadlift;359
Daniel Lee;51;74 kg;Deadlift;176
Emily Davis;27;59 kg;Deadlift;317
Laura Taylor;42;105 kg;Deadlift;398
Jessica Wilson;64;74 kg;Deadlift;293
Jane Smith;27;105 kg;Deadlift;307
Emily Davis;54;52 kg;Deadlift;299
Emily Davis;35;Open;Deadlift;295
Daniel Lee;60;Open;Deadlift;223
Emily Davis;22;Open;Deadlift;152
Sarah Thomas;24;Open;Deadlift;189
Daniel Lee;22;83 kg;Deadlift;198
John Doe;57;120 kg;Deadlift;311
Matthew Anderson;56;52 kg;Deadlift;218
Daniel Lee;57;105 kg;Deadlift;225
Matthew Anderson;18;59 kg;Deadlift;376
Laura Taylor;59;93 kg;Deadlift;235
Michael Johnson;56;59 kg;Deadlift;348
Matthew Anderson;22;52 kg;Deadlift;385
Chris Brown;61;74 kg;Deadlift;345
Sarah Thomas;19;93 kg;Deadlift;289
Sarah Thomas;59;59 kg;Deadlift;331
Jane Smith;58;Open;Deadlift;136
Sarah Thomas;62;Open;Deadlift;385
Chris Brown;62;52 kg;Deadlift;369
Jane Smith;20;52 kg;Deadlift;277
John Doe;62;120 kg;Deadlift;119
John Doe;53;52 kg;Deadlift;393
Matthew Anderson;38;66 kg;Deadlift;310
Michael Johnson;39;74 kg;Deadlift;380
Emily Davis;25;74 kg;Deadlift;209
Jane Smith;24;105 kg;Deadlift;196
John Doe;37;93 kg;Deadlift;214
Laura Taylor;61;52 kg;Deadlift;181
Chris Brown;50;83 kg;Deadlift;318
Jessica Wilson;40;66 kg;Deadlift;302
Emily Davis;39;52 kg;Deadlift;115
John Doe;39;52 kg;Deadlift;277
Jessica Wilson;51;105 kg;Deadlift;106
Daniel Lee;61;59 kg;Deadlift;365
Chris Brown;55;120 kg;Deadlift;321
Emily Davis;36;93 kg;Deadlift;222
Chris Brown;47;93 kg;Deadlift;281
Emily Davis;60;83 kg;Deadlift;368
Jessica Wilson;63;66 kg;Deadlift;222
Matthew Anderson;61;93 kg;Deadlift;120
Matthew Anderson;63;120 kg;Deadlift;115
Daniel Lee;51;83 kg;Deadlift;368
Emily Davis;42;52 kg;Deadlift;179
Laura Taylor;45;74 kg;Deadlift;257
John Doe;21;105 kg;Deadlift;247
Emily Davis;62;120 kg;Deadlift;160
Daniel Lee;28;74 kg;Deadlift;342
Michael Johnson;64;59 kg;Deadlift;292
Jane Smith;23;Open;Deadlift;206
Michael Johnson;58;59 kg;Deadlift;223
Chris Brown;53;74 kg;Deadlift;113
Michael Johnson;46;120 kg;Deadlift;253
Laura Taylor;48;93 kg;Deadlift;138
John Doe;19;59 kg;Deadlift;142
Sarah Thomas;39;83 kg;Deadlift;393
Daniel Lee;46;93 kg;Deadlift;151
Jessica Wilson;19;105 kg;Deadlift;379
Michael Johnson;43;52 kg;Deadlift;309
Jessica Wilson;40;59 kg;Deadlift;286
Daniel Lee;45;93 kg;Deadlift;217
Michael Johnson;32;Open;Deadlift;296
John Doe;22;74 kg;Deadlift;153
Sarah Thomas;64;120 kg;Deadlift;230
Matthew Anderson;46;105 kg;Deadlift;272
Matthew Anderson;55;105 kg;Deadlift;314
Chris Brown;51;93 kg;Deadlift;180
Daniel Lee;19;120 kg;Deadlift;307
Daniel Lee;24;66 kg;Deadlift;239
Jessica Wilson;23;83 kg;Deadlift;287
Emily Davis;42;83 kg;Deadlift;224
Jessica Wilson;59;105 kg;Deadlift;311
Jessica Wilson;24;105 kg;Deadlift;195
John Doe;57;Open;Deadlift;138
Jessica Wilson;53;83 kg;Deadlift;205
Laura Taylor;50;Open;Deadlift;205
Jessica Wilson;45;105 kg;Deadlift;159
Sarah Thomas;40;93 kg;Deadlift;122
Emily Davis;52;83 kg;Deadlift;106
Jessica Wilson;36;Open;Deadlift;383
Chris Brown;32;74 kg;Deadlift;398
Jane Smith;25;105 kg;Deadlift;257
Jessica Wilson;59;74 kg;Deadlift;286
Matthew Anderson;40;59 kg;Deadlift;171
Jane Smith;52;66 kg;Deadlift;383
Jane Smith;58;74 kg;Deadlift;399
Chris Brown;43;59 kg;Deadlift;314
Michael Johnson;55;59 kg;Deadlift;230
Daniel Lee;47;59 kg;Deadlift;341
Laura Taylor;42;52 kg;Deadlift;316
John Doe;23;83 kg;Deadlift;356
Jessica Wilson;40;Open;Deadlift;116
John Doe;49;74 kg;Deadlift;143
Laura Taylor;49;93 kg;Deadlift;138
Jane Smith;42;74 kg;Deadlift;370
Laura Taylor;24;66 kg;Deadlift;310
Laura Taylor;25;59 kg;Deadlift;225
John Doe;60;83 kg;Deadlift;117
Sarah Thomas;22;66 kg;Deadlift;391
Chris Brown;29;52 kg;Deadlift;143
Chris Brown;40;66 kg;Deadlift;170
Sarah Thomas;60;105 kg;Deadlift;134
Jane Smith;18;52 kg;Deadlift;313
Jessica Wilson;42;59 kg;Deadlift;198
Michael Johnson;48;105 kg;Deadlift;124
Michael Johnson;50;Open;Deadlift;356
Michael Johnson;40;83 kg;Deadlift;253
Sarah Thomas;26;52 kg;Deadlift;130
Laura Taylor;54;66 kg;Deadlift;395
Matthew Anderson;32;93 kg;Deadlift;226
Emily Davis;37;66 kg;Deadlift;376
Daniel Lee;42;Open;Deadlift;256
Michael Johnson;33;59 kg;Deadlift;213
Daniel Lee;51;93 kg;Deadlift;342
Daniel Lee;19;66 kg;Deadlift;218
John Doe;21;59 kg;Deadlift;116
